[2026-01-22 10:32:50] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 10:34:22] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 10:36:13] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 10:40:04] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 10:45:37] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 10:48:11] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:03:05] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:07:46] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:07:56] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:11:04] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
[2026-01-22 11:12:26] [INFO] [Bootstrap] Startup: ScriptPath=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Teams Always Green.ps1 LogDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Logs SettingsDir=C:\Users\alexanderphillips\OneDrive - Arch Resources, Inc\Documents\Teams Always Green\Settings
